,blue-dwarf.qmd,artemis-did-not-leave.qmd,red-giant.qmd,planet-orbiting-dead-star-WD-1856-b.qmd,moonless-earth-day-year.qmd,black-hole-older-than-galaxy.qmd,why-sun-moon-same-size.qmd,ngrst-nasa.qmd,kuiper-oort.qmd,ganymede.qmd,aldebaran.qmd,nova-star.qmd,ceres-asteroid-or-dwarf-planet.qmd,gravity-hill.qmd,mercury-diamond.qmd,why-no-aliens-visited-us.qmd,M-82-65.qmd,asteroid-belt-not-wall.qmd,meghnad-saha.qmd,earth-inside.qmd,how-big-is-sun.qmd,pink-planet.qmd,variable-star.qmd,star-vs-universe.qmd,saturn-moons.qmd,apod-abell-2744.qmd,parsec.qmd,hot-jupiter.qmd,how-is-star-distance-measured.qmd,comet-types.qmd
how-big-is-sun.qmd,0.23655262165218008,0.12928809850570783,0.4421557342424999,0.21391499339425443,0.16823905732359629,0.22534877845928447,0.46264673784462174,0.13334469112911632,0.23293066444773108,0.14852566500418357,0.352213099036589,0.3352782014081168,0.22362768315778062,0.18305133256076206,0.12538137397314342,0.20047019742604308,0.1575528265443767,0.18079499622287212,0.14697855193444828,0.07108741897138625,0.9999999999999996,0.14157664980012355,0.21439864983619455,0.23500819509269902,0.11944566308766875,0.07591323836754313,0.31648956102646614,0.13911471784450782,0.2303871279119179,0.16415542933308858
pink-planet.qmd,0.1503622076376658,0.1522342911054528,0.16023355659863536,0.3247254184051092,0.24787183297804533,0.21860224713751042,0.1590759072758808,0.21894975844498665,0.1705237945020747,0.2792797841687894,0.2013433627578601,0.1655390959821786,0.3884223488909024,0.16671401244948642,0.24141438432346163,0.24561168453504978,0.21649144503194623,0.19222176409589364,0.14979627198419,0.013146895814424766,0.14157664980012355,1.0,0.14630573193695012,0.22361775464047934,0.22496014076743395,0.056245333442198044,0.13110033149313413,0.1807420774783211,0.18015196666419506,0.1484615151113023
variable-star.qmd,0.22221181236141627,0.186285845978093,0.3628652450853243,0.19752049788813864,0.15479282828740362,0.16193529891401917,0.1866415142372702,0.14533833232363452,0.1510960708876476,0.10774391719863219,0.5150968042353247,0.3687805569565492,0.15314683567402454,0.2068616310436443,0.12057312269550713,0.17786600618215082,0.11081027628224333,0.10168477907032586,0.14513974991319903,0.0038968829751510553,0.21439864983619455,0.14630573193695012,1.0000000000000002,0.2459194842950609,0.0898856797100143,0.03200125763481523,0.1777299017682088,0.16036803540138564,0.25120133665368427,0.15169751261132566
star-vs-universe.qmd,0.5160698261942579,0.29387735894691325,0.3297502013617247,0.4323475293668873,0.3008132307446628,0.4098579427479029,0.20050479993338133,0.23510322843423456,0.20080654121667763,0.19255509289861067,0.3677901227322788,0.45115090659028606,0.1880469867564933,0.24287686522399737,0.10612021205408344,0.4046638816424301,0.25289934235663314,0.20610254828008454,0.25928304021734067,0.00575876362433494,0.23500819509269902,0.22361775464047934,0.2459194842950609,1.0000000000000007,0.10229772217957955,0.07130331653043921,0.21478433203094122,0.2363042902525154,0.33968861958530244,0.18006828061820276
saturn-moons.qmd,0.10953330623367886,0.12274137378683146,0.1304092234889902,0.19962341644134002,0.1559565366501347,0.12709190978182605,0.17514062673253972,0.0956408030309918,0.13874602897057187,0.666952835573176,0.13270657421455745,0.10249324536590888,0.4086435443427857,0.060159562693565136,0.3734828076269604,0.12540544500619957,0.05243933372609332,0.16990799621367764,0.09646885282548846,0.01173715520488509,0.11944566308766875,0.22496014076743395,0.0898856797100143,0.10229772217957955,1.0,0.030240380864563945,0.07309309326962549,0.2009938619693409,0.09708805437244997,0.15160705522626713
apod-abell-2744.qmd,0.06328593076013532,0.07433520830245363,0.10849256182746907,0.07954483033163426,0.07990750648791826,0.12314683747670035,0.03267661454883807,0.03566456730512534,0.02585998875461722,0.030265379677363105,0.07481652281887248,0.12039873353057384,0.02396046489944453,0.05040928172600789,0.058256831373442106,0.05102907978697483,0.04126624580966773,0.03015562585764378,0.032564985561821275,0.02112775172184452,0.07591323836754313,0.056245333442198044,0.03200125763481523,0.07130331653043921,0.030240380864563945,1.0000000000000002,0.037358300041791914,0.04809344059176577,0.045698617432155295,0.03967512253537313
parsec.qmd,0.12905677258965925,0.16414327649865562,0.29094883637247815,0.17263514508050962,0.14489358185017442,0.14461020021859383,0.2559189894312528,0.1331119969080522,0.12561635889267536,0.09264894570861196,0.2567873687589268,0.1870921775006748,0.15766093179894095,0.14744274697415904,0.06897522567074928,0.13168470511423316,0.0943845675017673,0.14266531061186685,0.11247471701994707,0.07909412006095455,0.31648956102646614,0.13110033149313413,0.1777299017682088,0.21478433203094122,0.07309309326962549,0.037358300041791914,1.0000000000000002,0.11516609156619557,0.31584436214624007,0.12399020834583822
hot-jupiter.qmd,0.26103939251691893,0.128034036796142,0.19125946767684793,0.2904238279034351,0.15371406312178057,0.13415128970455703,0.18762166025945842,0.10763443285524389,0.16097414264463358,0.19487501542851382,0.24197802974707522,0.23752991136650878,0.2506062379181005,0.145131194918563,0.10269951284096643,0.20267128611545482,0.10929087097957448,0.1471929714611354,0.10212104008149953,0.009584454384798668,0.13911471784450782,0.1807420774783211,0.16036803540138564,0.2363042902525154,0.2009938619693409,0.04809344059176577,0.11516609156619557,1.0,0.20267242856971002,0.1896316860459043
how-is-star-distance-measured.qmd,0.2354907229245172,0.19602065772555619,0.2553963668803466,0.3597903505115802,0.1996016427293296,0.172020597796789,0.26051408488657346,0.1790538170549611,0.1635273339817896,0.11448439159554827,0.3203791396042635,0.3243821361775182,0.18502138583204825,0.19624987912710765,0.12017073617039349,0.23417881564520174,0.16841748129785045,0.13508927473516438,0.21718654548530264,0.06376977828699919,0.2303871279119179,0.18015196666419506,0.25120133665368427,0.33968861958530244,0.09708805437244997,0.045698617432155295,0.31584436214624007,0.20267242856971002,0.9999999999999998,0.16756793139912324
comet-types.qmd,0.23346020810155715,0.1552259126888934,0.17957767609092387,0.24049530253845336,0.13862852739429543,0.14860311177999894,0.1876361093289165,0.1093436195483762,0.44017558289086883,0.18890034398210093,0.21764507345725023,0.1916187085355991,0.250868027163851,0.14620762107998225,0.1140125866063562,0.22236860495710503,0.08205835550535324,0.16640884360715405,0.12297432846804227,0.009995904815849724,0.16415542933308858,0.1484615151113023,0.15169751261132566,0.18006828061820276,0.15160705522626713,0.03967512253537313,0.12399020834583822,0.1896316860459043,0.16756793139912324,1.0
